id;domain;priority;method;control;scenario;evidence;acceptance;initial_state
CAM-012;8. Projeção e câmera;P0;VIS;Oclusão bola-atleta;Bola passa atrás e à frente.;vídeo;"Camada muda conforme profundidade; bola não some indevidamente.";PENDENTE 2.5D
CAM-013;8. Projeção e câmera;P0;VIS;Oclusão com gol e rede;Chute entra e goleiro mergulha.;vídeo do gol;Bola, goleiro, postes e rede têm ordem coerente.;PENDENTE 2.5D
CAM-014;8. Projeção e câmera;P0;AUTO+VIS;Teto vertical de bola alta;Lançamentos e chutes altos no terço distante.;máxima altura projetada;Nunca invade arquibancada/interface e mantém arco visível.;PENDENTE 2.5D
CAM-015;8. Projeção e câmera;P0;VIS;Continuidade em bordas do palco;Bola e atletas próximos aos quatro limites.;vídeos de borda;"Nada é cortado antes de sair logicamente; nomes não vazam para fora.";PENDENTE 2.5D
CAM-016;8. Projeção e câmera;P0;VIS;Enquadramento da partida inteira;Jogo corrido em todos os terços.;partida gravada;Bola e zona relevante permanecem visíveis sem esconder o HUD.;PENDENTE 2.5D
CAM-017;8. Projeção e câmera;P1;VIS;Transição suave entre terços;Ataque vai de uma área à outra.;curva de câmera;Sem salto brusco, atraso excessivo ou enjoo.;PENDENTE 2.5D
CAM-018;8. Projeção e câmera;P1;VIS;Antecipação moderada da bola;Lançamento longo.;vídeo;Câmera acompanha destino sem abandonar origem antes do contato.;PENDENTE 2.5D
CAM-019;8. Projeção e câmera;P0;VIS;Reação a contra-ataque;Mudança rápida de direção.;vídeo;Acelera de modo controlado e mantém portador visível.;PENDENTE 2.5D
CAM-020;8. Projeção e câmera;P1;VIS;Reação a rebote inesperado;Bola muda de direção.;vídeo;Corrige enquadramento sem teleporte de câmera.;PENDENTE 2.5D
CAM-021;8. Projeção e câmera;P0;VIS;Enquadramento de cruzamento;Bola vai da lateral à área.;vídeo;Inclui cobrador, trajetória e zona de disputa.;PENDENTE 2.5D
CAM-022;8. Projeção e câmera;P0;VIS;Enquadramento de chute longo;Finalização de fora.;vídeo;Mostra contato e destino do chute.;PENDENTE 2.5D
CAM-023;8. Projeção e câmera;P0;VIS;Enquadramento de 1x1;Atacante entra na área.;vídeo;Atacante, goleiro e gol permanecem legíveis.;PENDENTE 2.5D
CAM-024;8. Projeção e câmera;P1;VIS;Enquadramento pós-gol;Bola cruza linha e placar atualiza.;vídeo;Mantém gol visível e transita para celebração/saída sem corte incoerente.;PENDENTE 2.5D
CAM-025;8. Projeção e câmera;P1;VIS;Enquadramento de impedimento;Jogada é interrompida.;vídeo;Mostra contexto da linha sem congelar ou reposicionar abruptamente.;PENDENTE 2.5D
CAM-026;8. Projeção e câmera;P0;VIS+PERF;Câmera em velocidade turbo;Executar 3.6x.;vídeo + frame time;"Sem tremor frenético; suavização adapta-se ao multiplicador.";PENDENTE 2.5D
CAM-027;8. Projeção e câmera;P1;DIR;Câmera após pausa;Pausar durante movimento.;vídeo;Congela e retoma sem interpolação acumulada.;PENDENTE 2.5D
CAM-028;8. Projeção e câmera;P0;DIR;Câmera após troca de aba;Ocultar e voltar.;vídeo;Não salta para posição incorreta.;PENDENTE 2.5D
CAM-029;8. Projeção e câmera;P0;VIS;Câmera em gol distante;Ataque no terço mais distante.;vídeo;Gol, bola e atletas mantêm tamanho mínimo legível.;PENDENTE 2.5D
CAM-030;8. Projeção e câmera;P1;AUTO+VIS;Simetria entre lados;Repetir cenário espelhado.;comparação espelhada;Comportamento visual equivalente nos dois sentidos.;PENDENTE 2.5D
CAM-031;8. Projeção e câmera;P0;VIS;Falta direta usa câmera 2.5D;Cobrança frontal.;vídeo;Sem perspectiva legada ou mudança abrupta de escala.;PENDENTE 2.5D
CAM-032;8. Projeção e câmera;P0;VIS;Falta lateral usa câmera 2.5D;Cobrança para a área.;vídeo;Cobrador, barreira e área aparecem no mesmo palco.;PENDENTE 2.5D
CAM-033;8. Projeção e câmera;P0;VIS;Pênalti usa câmera 2.5D;Cobrança em tempo normal.;vídeo;"Batedor, goleiro e gol legíveis; identidade visual preservada.";PENDENTE 2.5D
CAM-034;8. Projeção e câmera;P0;VIS;Disputa por pênaltis usa câmera 2.5D;Série completa.;vídeo;Transições entre cobradores sem voltar à perspectiva antiga.;PENDENTE 2.5D
CAM-035;8. Projeção e câmera;P1;VIS;Escanteio próximo;Cobrança no lado da câmera.;vídeo;Quadrante, área e goleiro no enquadramento.;PENDENTE 2.5D
CAM-036;8. Projeção e câmera;P0;VIS;Escanteio distante;Cobrança no lado oposto.;vídeo;Trajetória não invade arquibancada e disputa permanece legível.;PENDENTE 2.5D
CAM-037;8. Projeção e câmera;P1;VIS;Lateral próximo;Cobrança na lateral inferior.;vídeo;"Cobrador e receptor visíveis; nomes não saem da tela.";PENDENTE 2.5D
CAM-038;8. Projeção e câmera;P1;VIS;Lateral distante;Cobrança na lateral superior.;vídeo;"Arco e receptor legíveis; escala correta.";PENDENTE 2.5D
CAM-039;8. Projeção e câmera;P1;VIS;Tiro de meta;Saída curta e longa.;vídeo;Goleiro e opções iniciais visíveis.;PENDENTE 2.5D
CAM-040;8. Projeção e câmera;P1;VIS;Saída após gol;Reinício central.;vídeo;Transição de câmera estável e sem corte legado.;PENDENTE 2.5D
CAM-041;8. Projeção e câmera;P0;AUTO+VIS;Nomes sem colisão horizontal;Dois atletas próximos.;mapa de caixas de texto;Algoritmo evita sobreposição crítica ou reduz labels por prioridade.;PENDENTE 2.5D
CAM-042;8. Projeção e câmera;P0;AUTO+VIS;Nomes sem colisão vertical;Atletas alinhados em profundidade.;mapa de caixas;"Labels não cobrem bola nem placar; deslocamento é estável.";PENDENTE 2.5D
CAM-043;8. Projeção e câmera;P1;VIS;Prioridade do portador;Aglomerado com bola.;captura;Nome do portador permanece identificável e os demais podem ser suprimidos.;PENDENTE 2.5D
CAM-044;8. Projeção e câmera;P2;VIS;Número legível no fundo;Atleta distante.;captura 100%;Número ainda reconhecível sem escala fixa excessiva.;PENDENTE 2.5D
CAM-045;8. Projeção e câmera;P0;VIS;VFX não oculta a bola;Desarme, chute e defesa.;vídeo;Bola permanece visível durante a ação crítica.;PENDENTE 2.5D
CAM-046;8. Projeção e câmera;P0;VIS;Placar não cobre o campo;Diferentes proporções de tela.;capturas;HUD respeita área segura e não invade zona ativa.;PENDENTE 2.5D
CAM-047;8. Projeção e câmera;P1;VIS;Painéis laterais não deformam palco;Abrir estatísticas/eventos.;antes/depois;Campo redimensiona ou sobrepõe de modo definido sem distorção.;PENDENTE 2.5D
CAM-048;8. Projeção e câmera;P2;VIS;Tooltips respeitam profundidade;Abrir informação de atleta próximo à borda.;captura;Tooltip fica dentro da viewport e não acompanha escala do atleta.;PENDENTE 2.5D
CAM-049;8. Projeção e câmera;P1;VIS;Indicador de seleção;Selecionar atleta em diferentes profundidades.;galeria;Indicador acompanha posição e escala sem esconder pés/bola.;PENDENTE 2.5D
CAM-050;8. Projeção e câmera;P1;DIR;Debug visual removível;Ativar/desativar sobreposições de auditoria.;capturas on/off;Debug não altera layout/lógica e fica ausente no modo de release.;BASELINE R13.0
ATL-001;9. Atletas;P1;VIS;Pose ociosa;Atleta parado aguardando reinício.;galeria determinística;"Postura estável e orientada; não desliza sem passada.";PENDENTE 2.5D
ATL-002;9. Atletas;P1;VIS;Caminhada;Reorganização em baixa velocidade.;clipe em 1.0x;Passos acompanham deslocamento e não patinam.;PENDENTE 2.5D
ATL-003;9. Atletas;P0;VIS;Corrida moderada;Progressão sem sprint.;clipe;Cadência de passada proporcional à velocidade.;PENDENTE 2.5D
ATL-004;9. Atletas;P0;VIS;Sprint;Transição rápida.;clipe;Pose e passada distinguem sprint de corrida comum.;PENDENTE 2.5D
ATL-005;9. Atletas;P1;VIS;Aceleração;Atleta parte do repouso.;clipe em 0,5x;Corpo inclina e velocidade cresce gradualmente.;PENDENTE 2.5D
ATL-006;9. Atletas;P1;VIS;Desaceleração;Atleta reduz antes de receber.;clipe;"Passos/lean mostram frenagem; não para instantaneamente.";PENDENTE 2.5D
ATL-007;9. Atletas;P0;VIS;Mudança de direção;Corte de 90° e 180°.;clipe;Rotação precede novo vetor e não espelha de modo abrupto.;PENDENTE 2.5D
ATL-008;9. Atletas;P1;VIS;Corrida para trás/lateral;Defensor ajusta posição.;clipe;Movimento defensivo tem orientação adequada, sem correr de costas para a bola sempre.;PENDENTE 2.5D
ATL-009;9. Atletas;P1;VIS;Recomposição;Atacante retorna após perda.;clipe longo;"Pose e velocidade variam com urgência; sem deslize contínuo.";PENDENTE 2.5D
ATL-010;9. Atletas;P0;VIS;Aproximação da bola;Atleta chega para dominar.;clipe;Reduz passada e alinha pé ao ponto de contato.;PENDENTE 2.5D
ATL-011;9. Atletas;P0;VIS;Proteção de bola;Portador sob pressão lateral.;clipe;Corpo se coloca entre bola e defensor.;PENDENTE 2.5D
ATL-012;9. Atletas;P1;VIS;Queda após contato;Falta ou choque forte.;clipe;Queda parte do contato e termina sem teleporte de volta.;PENDENTE 2.5D
ATL-013;9. Atletas;P2;VIS;Levantada após queda;Jogo segue ou reinicia.;clipe;Atleta retorna de forma contínua e em tempo plausível.;PENDENTE 2.5D
ATL-014;9. Atletas;P2;VIS;Comemoração curta;Gol válido.;vídeo;Não bloqueia reinício e mantém escala/profundidade.;PENDENTE 2.5D
ATL-015;9. Atletas;P2;VIS;Frustração após chance;Chute perdido importante.;vídeo;Reação breve, sem impedir recomposição.;PENDENTE 2.5D
ATL-016;9. Atletas;P0;VIS;Passe com perna visível;Passe curto frontal.;frame do contato;Perna/pé executa movimento no instante da saída.;PENDENTE 2.5D
ATL-017;9. Atletas;P1;VIS;Passe de lado;Passe lateral sob pressão.;clipe;Corpo gira e pé corresponde ao lado do passe.;PENDENTE 2.5D
ATL-018;9. Atletas;P0;VIS;Passe de primeira;Desvio rápido.;clipe;Animação curta sincronizada ao contato.;PENDENTE 2.5D
ATL-019;9. Atletas;P1;VIS;Lançamento longo;Bola aérea.;clipe;Amplitude de perna e inclinação diferem do passe curto.;PENDENTE 2.5D
ATL-020;9. Atletas;P0;VIS;Chute forte;Finalização de média distância.;clipe;Preparação, balanço de perna e contato visíveis.;PENDENTE 2.5D
ATL-021;9. Atletas;P1;VIS;Chute colocado;Finalização de precisão.;clipe;Pose distinta do chute forte e alinhada ao alvo.;PENDENTE 2.5D
ATL-022;9. Atletas;P0;VIS;Cabeceio;Disputa aérea.;clipe;Salto e cabeça encontram a bola no mesmo frame.;PENDENTE 2.5D
ATL-023;9. Atletas;P0;VIS;Carrinho;Desarme no chão.;clipe;"Corpo percorre distância física; bola muda no contato.";PENDENTE 2.5D
ATL-024;9. Atletas;P0;VIS;Bote em pé;Defensor alcança a bola.;clipe;Perna de desarme aparece e não atravessa o atacante.;PENDENTE 2.5D
ATL-025;9. Atletas;P0;VIS;Bloqueio de chute;Defensor se coloca na trajetória.;clipe;Pose de bloqueio coincide com ponto do desvio.;PENDENTE 2.5D
ATL-026;9. Atletas;P1;VIS;Salto defensivo;Zagueiro disputa cruzamento.;clipe;Elevação e tempo de salto coerentes com altura da bola.;PENDENTE 2.5D
ATL-027;9. Atletas;P0;VIS;Cobrança de lateral;Cobrador lança com braços.;clipe;Pose distingue lateral de passe e bola nasce na posição correta.;PENDENTE 2.5D
ATL-028;9. Atletas;P0;VIS;Cobrança de falta;Batedor executa chute.;clipe;Pose e contato permanecem no palco 2.5D.;PENDENTE 2.5D
ATL-029;9. Atletas;P0;VIS;Cobrança de pênalti;Batedor corre e chuta.;clipe;"Passos e contato sincronizados; sem perspectiva legada.";PENDENTE 2.5D
ATL-030;9. Atletas;P0;VIS;Ações específicas do goleiro;Defesa, mergulho, soco e distribuição.;galeria;Conjunto próprio, sem reutilizar pose genérica inadequada.;PENDENTE 2.5D
ATL-031;9. Atletas;P0;AUTO+VIS;Orientação para a bola;Atleta sem posse em diferentes fases.;ângulo corpo-bola;Mantém orientação plausível sem girar instantaneamente a cada tick.;PENDENTE 2.5D
ATL-032;9. Atletas;P1;AUTO+VIS;Orientação para alvo de movimento;Corrida sem bola.;ângulo corpo-vetor;Corpo acompanha vetor com suavização.;PENDENTE 2.5D
ATL-033;9. Atletas;P1;VIS;Orientação do receptor;Passe chega de lado ou por trás.;clipe;Receptor ajusta corpo antes do domínio quando há tempo.;PENDENTE 2.5D
ATL-034;9. Atletas;P1;VIS;Pé de contato coerente;Passe e chute para ambos os lados.;galeria;"Contato ocorre no lado do corpo compatível; sem bola saindo do pé oposto distante.";PENDENTE 2.5D
ATL-035;9. Atletas;P1;VIS;Espelhamento correto;Mesma ação nos dois sentidos do campo.;comparação espelhada;Animação espelha sem inverter profundidade ou texto.;PENDENTE 2.5D
ATL-036;9. Atletas;P0;VIS;Colisão visual atleta-atleta;Disputa ombro a ombro.;clipe;"Corpos não atravessam profundamente; separação ocorre suavemente.";PENDENTE 2.5D
ATL-037;9. Atletas;P0;VIS;Colisão visual atleta-bola;Domínio, chute e desarme.;clipes em 0,5x;Ponto de contato coincide com a mudança de trajetória.;PENDENTE 2.5D
ATL-038;9. Atletas;P2;VIS;Lean 2D em curva;Atleta muda direção em velocidade.;clipe;Inclinação ajuda a leitura sem deformar o avatar.;PENDENTE 2.5D
ATL-039;9. Atletas;P2;VIS;Sombra no mergulho;Goleiro ou atleta no chão.;captura;Sombra acompanha corpo projetado, não permanece em pé.;PENDENTE 2.5D
ATL-040;9. Atletas;P1;AUTO+VIS;Sem jitter de rotação;Atleta alterna pequenos ajustes.;variação angular por frame;Sem oscilação de esquerda/direita superior ao limite definido.;PENDENTE 2.5D
ATL-041;9. Atletas;P0;AUTO+VIS;Nome associado ao atleta correto;Atletas cruzam posições.;ID visual x lógico;Label acompanha o mesmo ID sem troca.;PENDENTE 2.5D
ATL-042;9. Atletas;P1;AUTO;Número associado ao atleta correto;Substituições e trocas de posição.;ID/número;Número não muda nem duplica indevidamente.;PENDENTE 2.5D
ATL-043;9. Atletas;P0;PAINEL HUMANO;Cores distinguem equipes;Uniformes semelhantes e campo distante.;avaliação de reconhecimento;Observadores distinguem equipes em pelo menos 95% dos frames críticos.;PENDENTE 2.5D
ATL-044;9. Atletas;P1;VIS;Goleiro distinguível;Goleiro entre jogadores na área.;capturas;Cor/forma permite identificação imediata.;PENDENTE 2.5D
ATL-045;9. Atletas;P1;VIS;Avatar não invade UI;Atleta próximo a bordas e painéis.;capturas;Corpo e labels são cortados/contidos de forma previsível sem sobrepor controles.;PENDENTE 2.5D
VFX-001;10. Trajetórias e VFX;P0;AUTO+VIS;Arco de lançamento longo;Passe acima de 30 m.;curva altura-tempo;"Altura sobe e desce suavemente; pico entre origem e destino.";PENDENTE 2.5D
VFX-002;10. Trajetórias e VFX;P0;AUTO+VIS;Arco de cruzamento;Cruzamento aberto e fechado.;curvas comparadas;Perfis distintos e coerentes com tipo de cobrança.;BASELINE R13.0
VFX-003;10. Trajetórias e VFX;P0;AUTO+VIS;Arco de chute alto;Finalização alta.;altura-tempo;Sem progressão linear ou mudança abrupta.;PENDENTE 2.5D
VFX-004;10. Trajetórias e VFX;P1;AUTO+VIS;Curva lateral de chute;Chute colocado.;x/y por frame;Curvatura contínua e compatível com velocidade.;PENDENTE 2.5D
VFX-005;10. Trajetórias e VFX;P0;AUTO;Trajetória de passe rasteiro;Passe curto e médio.;velocidade-tempo;Mantém altura baixa e desaceleração progressiva.;PENDENTE 2.5D
VFX-006;10. Trajetórias e VFX;P1;DIR;Trajetória de passe picado;Passe sobre defensor.;altura e destino;Sobe o suficiente para superar obstáculo e cai antes do receptor.;PENDENTE 2.5D
VFX-007;10. Trajetórias e VFX;P1;DIR;Trajetória de cabeceio;Cabeceio ofensivo e defensivo.;vetor pós-contato;"Origem na cabeça; velocidade menor que chute forte.";PENDENTE 2.5D
VFX-008;10. Trajetórias e VFX;P1;DIR;Trajetória de soco do goleiro;Cruzamento alto.;vetor pós-contato;Sai das mãos e evita centro da área quando possível.;PENDENTE 2.5D
VFX-009;10. Trajetórias e VFX;P0;DIR;Trajetória de espalmada;Chute no canto.;vetor pós-defesa;Desvio coerente com mão e direção do chute.;PENDENTE 2.5D
VFX-010;10. Trajetórias e VFX;P0;DIR;Trajetória após bloqueio;Chute toca defensor.;vetor antes/depois;Ângulo muda no contato, sem snap para alvo predefinido.;PENDENTE 2.5D
VFX-011;10. Trajetórias e VFX;P0;DIR;Trajetória após carrinho;Desarme em movimento.;ponto de contato;Bola espirra conforme vetor relativo.;PENDENTE 2.5D
VFX-012;10. Trajetórias e VFX;P0;AUTO;Trajetória após quique;Bola aérea no gramado.;sequência de picos;Cada quique perde altura/energia.;PENDENTE 2.5D
VFX-013;10. Trajetórias e VFX;P0;DIR;Trajetória no poste;Impacto lateral.;normal de colisão;Reflexão usa superfície do poste.;PENDENTE 2.5D
VFX-014;10. Trajetórias e VFX;P0;DIR;Trajetória no travessão;Impacto alto.;normal de colisão;Reflexão respeita profundidade e gravidade.;PENDENTE 2.5D
VFX-015;10. Trajetórias e VFX;P1;VIS;Trajetória na rede;Gol em várias zonas.;vídeo;Bola desacelera/para na região da rede sem atravessar cenário.;PENDENTE 2.5D
VFX-016;10. Trajetórias e VFX;P0;AUTO+VIS;Trajetória do lateral;Cobrança curta e longa.;arco e origem;Origem/altura coerentes com arremesso.;PENDENTE 2.5D
VFX-017;10. Trajetórias e VFX;P1;AUTO+VIS;Trajetória da reposição do goleiro;Lançamento com mãos e pés.;curvas comparadas;Perfis são distintos e fisicamente plausíveis.;PENDENTE 2.5D
VFX-018;10. Trajetórias e VFX;P0;AUTO;Trajetória de bola livre;Após disputa sem posse.;velocidade e atrito;"Continua até perder energia ou novo contato; não busca automaticamente um pé.";PENDENTE 2.5D
VFX-019;10. Trajetórias e VFX;P0;AUTO+VIS;Continuidade entre segmentos;Troca de estado voo→quique→domínio.;posição no frame de transição;Sem descontinuidade espacial acima de 0,05 unidade.;PENDENTE 2.5D
VFX-020;10. Trajetórias e VFX;P0;AUTO+VIS;Limites de altura por profundidade;Bolas altas perto e longe.;máxima projeção;Teto visual adaptado ao palco sem cortar o arco.;PENDENTE 2.5D
VFX-021;10. Trajetórias e VFX;P1;VIS;VFX de chute;Chute forte e colocado.;galeria;Efeito sinaliza contato sem esconder bola ou pé.;PENDENTE 2.5D
VFX-022;10. Trajetórias e VFX;P2;VIS;VFX de passe;Passe curto e longo.;galeria;Mais discreto que chute e coerente com intensidade.;PENDENTE 2.5D
VFX-023;10. Trajetórias e VFX;P1;VIS;VFX de desarme;Contato limpo e falta.;galeria;Diferencia impacto sem substituir animação física.;PENDENTE 2.5D
VFX-024;10. Trajetórias e VFX;P1;VIS;VFX de defesa;Encaixe, espalmada e soco.;galeria;Efeito acompanha ponto real de contato.;PENDENTE 2.5D
VFX-025;10. Trajetórias e VFX;P1;VIS;VFX de trave;Poste e travessão.;vídeo;Pulso/feedback nasce no impacto e não antes.;PENDENTE 2.5D
VFX-026;10. Trajetórias e VFX;P1;VIS;VFX de gol;Gol próximo e distante.;vídeo;Escala respeita profundidade e placar atualiza uma vez.;PENDENTE 2.5D
VFX-027;10. Trajetórias e VFX;P1;VIS;Rastro de bola em 1.0x;Passes e chutes.;vídeo;Rastro é sutil, curto e não cria duas bolas aparentes.;PENDENTE 2.5D
VFX-028;10. Trajetórias e VFX;P0;VIS;Rastro em TURBO;Executar 3.6x.;vídeo;"Comprimento/intensidade adaptam-se; não vira linha frenética contínua.";PENDENTE 2.5D
VFX-029;10. Trajetórias e VFX;P0;VIS;Pulso em TURBO;Eventos repetidos em 3.6x.;vídeo;"Duração escala com velocidade; pulsos não se acumulam.";PENDENTE 2.5D
VFX-030;10. Trajetórias e VFX;P0;AUTO;Limpeza de VFX;Sequência de eventos e reinícios.;contagem de objetos VFX;"Objetos expirados são removidos; nenhuma sobra entre partidas.";PENDENTE 2.5D
VFX-031;10. Trajetórias e VFX;P2;VIS;VFX de impedimento;Jogada interrompida.;captura/vídeo;Feedback identifica evento sem cobrir linha e atletas.;PENDENTE 2.5D
VFX-032;10. Trajetórias e VFX;P2;VIS;VFX de cartão;Amarelo e vermelho.;vídeo;"Visível e breve; não bloqueia controles essenciais.";PENDENTE 2.5D
VFX-033;10. Trajetórias e VFX;P2;VIS;VFX de substituição;Entrada/saída.;vídeo;Identifica atletas corretos sem congelar o jogo indevidamente.;PENDENTE 2.5D
VFX-034;10. Trajetórias e VFX;P1;VIS;VFX de posse/momentum;Mudanças rápidas de domínio.;vídeo;Indicador suaviza variações e não pisca excessivamente.;PENDENTE 2.5D
VFX-035;10. Trajetórias e VFX;P2;VIS;VFX de tempo adicional;Entrada nos acréscimos.;captura;Mensagem legível e não interfere no campo.;PENDENTE 2.5D
VFX-036;10. Trajetórias e VFX;P1;AUTO+VIS;Escala de VFX por profundidade;Repetir mesmo evento perto e longe.;medidas em pixels;Escala varia de forma monotônica e limitada.;PENDENTE 2.5D
VFX-037;10. Trajetórias e VFX;P1;VIS;Opacidade em sobreposição;Dois efeitos simultâneos.;captura;Bola e atletas continuam identificáveis.;PENDENTE 2.5D
VFX-038;10. Trajetórias e VFX;P2;VIS;Sem clipping em bordas;Evento próximo à linha/tela.;captura;Efeito é contido ou reposicionado sem corte feio.;PENDENTE 2.5D
VFX-039;10. Trajetórias e VFX;P1;A11Y+VIS;Reduced motion;Ativar preferência de movimento reduzido.;comparação on/off;Remove/reduz rastro, pulso e animações não essenciais sem perder informação.;PENDENTE 2.5D
VFX-040;10. Trajetórias e VFX;P1;A11Y;Sem dependência exclusiva de cor;Gol, cartão, impedimento e seleção.;capturas em escala de cinza;Forma, texto ou ícone complementa a cor.;PENDENTE 2.5D
VFX-041;10. Trajetórias e VFX;P2;A11Y;Contraste de VFX;Campo claro/escuro e uniformes variados.;medição e painel;Feedback permanece perceptível sem brilho excessivo.;PENDENTE 2.5D
VFX-042;10. Trajetórias e VFX;P1;AUTO;Cache de projeção limpo;Trocar resolução e orientação repetidamente.;tamanho dos caches;"Caches inválidos são descartados; nenhum crescimento contínuo.";PENDENTE 2.5D
VFX-043;10. Trajetórias e VFX;P0;AUTO;Cache de VFX limpo;Jogar 20 partidas seguidas.;objetos alocados;Contagem retorna ao baseline após cada partida.;PENDENTE 2.5D
VFX-044;10. Trajetórias e VFX;P2;VIS;Gomos/rotação da bola;Bola gira em passe, chute e quique.;clipes em 0,5x;Rotação acompanha vetor sem parecer textura fixa ou giro invertido.;PENDENTE 2.5D
VFX-045;10. Trajetórias e VFX;P1;VIS;Moldura visual consistente;Comparar partida, falta e pênalti.;capturas lado a lado;Mesma linguagem de campo, câmera e overlays em todas as cenas.;PENDENTE 2.5D
UX-001;11. UX;P1;PAINEL HUMANO;Carregamento: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em feedback de progresso e falha.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-002;11. UX;P1;DIR;Carregamento: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-003;11. UX;P1;PAINEL HUMANO;Tela inicial: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em hierarquia de jogar, continuar e configurações.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-004;11. UX;P1;DIR;Tela inicial: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-005;11. UX;P1;PAINEL HUMANO;Seleção de modo: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em clareza das opções e consequências.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-006;11. UX;P1;DIR;Seleção de modo: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-007;11. UX;P1;PAINEL HUMANO;Draft: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em sorteio, escolha, reroll e estado do elenco.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-008;11. UX;P0;DIR;Draft: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-009;11. UX;P1;PAINEL HUMANO;Elenco: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em titulares, reservas e posições.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-010;11. UX;P1;DIR;Elenco: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-011;11. UX;P1;PAINEL HUMANO;Formação: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em campo, troca de jogadores e compatibilidade.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-012;11. UX;P0;DIR;Formação: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-013;11. UX;P1;PAINEL HUMANO;Táticas: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em mentalidade, estilo e instruções.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-014;11. UX;P0;DIR;Táticas: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-015;11. UX;P1;PAINEL HUMANO;Adversário: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em leitura de formação, força e ameaças.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-016;11. UX;P1;DIR;Adversário: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-017;11. UX;P1;PAINEL HUMANO;Pré-jogo: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em resumo e início da partida.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-018;11. UX;P0;DIR;Pré-jogo: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-019;11. UX;P1;PAINEL HUMANO;Intervalo: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em estatísticas, ajustes e retorno.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
